Input Image,Object Name(s) (comma separated),Show Mask Overlay Only,Show Object Counts,Result,Detection Summary,timestamp
.gradio\flagged\Input Image\0b2edddf0a743431d028\png,mouse,true,true,.gradio\flagged\Result\295e2ff1dc2e8d2ba1b2\image.webp,"**Model device:** CPU

Detected Objects:
- mouse.: 1",2025-05-11 17:52:21.655649
.gradio\flagged\Input Image\378865b8bf1200557b16\png,mouse,true,true,.gradio\flagged\Result\45978d5f9cb02afe895f\image.webp,"**Model device:** CPU

Detected Objects:
- mouse.: 1",2025-05-11 17:52:51.970644
